805 805
334 335 0.628123
335 337 0.355594
336 344 0.791641
339 348 0.137571
341 342 -1.388591
341 345 0.573617
341 353 0.055812
341 354 -1.034303
341 367 -0.461993
341 368 -0.407487
341 370 2.971872
342 343 -1.170568
342 347 -0.734521
342 353 -0.352981
344 347 0.328341
345 354 1.827251
346 349 -0.352981
346 350 0.600870
347 353 -0.325728
347 356 0.083065
347 357 -0.352981
347 359 -1.061556
347 361 -0.407487
347 364 -0.298475
348 352 -0.625510
349 350 1.282193
351 352 1.200434
351 355 -0.352981
351 358 -0.707269
351 360 1.391204
351 366 -0.571004
351 374 0.083065
351 384 -0.298475
351 385 1.554722
351 389 0.301088
351 390 -0.434740
351 391 0.164824
351 392 -0.843533
351 393 0.628123
351 395 -1.034303
352 355 -1.116062
352 373 0.737135
352 379 -0.652763
352 384 1.554722
352 385 -0.352981
353 357 0.464606
353 363 0.846146
353 370 0.355594
354 358 -0.516498
354 365 -0.952545
354 367 -0.707269
354 368 0.273836
354 371 -0.707269
355 366 -0.516498
357 359 -0.271222
357 362 1.472963
357 363 1.227687
358 365 -1.960902
358 367 -0.407487
358 374 0.301088
358 387 0.382847
358 396 0.192077
358 401 1.309446
359 362 -0.789027
359 372 -1.988155
359 375 -0.407487
361 364 1.636480
362 363 -0.352981
362 369 -0.571004
362 372 1.009664
363 367 0.573617
363 369 0.682629
363 370 2.072527
363 376 0.737135
363 380 2.045274
363 397 0.055812
363 399 0.028560
365 367 0.028560
367 370 0.573617
367 371 0.355594
367 381 0.001307
367 387 1.009664
367 397 1.772745
368 371 -0.025946
369 372 -1.306832
369 376 -0.898039
369 377 -1.116062
369 378 -0.898039
372 375 -0.189464
372 377 0.464606
373 379 1.581974
374 393 0.846146
375 377 -1.770131
376 377 -1.116062
376 378 -1.633867
376 383 -0.571004
376 399 1.173181
377 378 -0.625510
377 383 -0.952545
379 382 1.500216
379 385 0.410100
379 386 -0.025946
379 388 0.355594
381 387 0.927905
381 396 -0.571004
381 397 1.745492
381 398 -1.497603
382 386 0.955158
382 388 -0.734521
382 400 0.846146
384 385 0.055812
384 390 1.091422
385 388 0.301088
385 390 2.208791
387 396 1.309446
388 390 2.699343
388 402 1.881756
389 391 -0.080452
390 392 -0.298475
390 394 -0.162211
390 402 1.772745
391 392 -0.571004
391 394 -0.080452
391 395 -0.189464
392 394 -0.952545
393 401 -0.516498
394 395 -0.080452
394 402 1.554722
396 398 0.164824
397 398 -0.625510
403 404 1.282193
403 415 0.818893
403 419 0.164824
404 405 -1.661120
404 415 0.600870
405 406 -1.388591
405 414 -1.715626
405 415 1.009664
406 407 0.219330
406 414 0.028560
407 408 -0.734521
407 414 0.083065
407 424 -1.143315
407 425 0.055812
407 432 -0.107705
407 433 -0.298475
407 434 -0.243969
408 409 -0.952545
408 410 -1.061556
408 422 -0.652763
408 424 -0.571004
408 426 -1.170568
408 430 -1.715626
408 431 -1.661120
410 411 0.192077
410 412 -0.516498
410 417 -1.415844
410 418 0.464606
410 422 -1.715626
412 413 -0.243969
412 417 -0.243969
412 418 0.410100
413 416 0.083065
413 417 0.546365
414 415 -1.742879
414 420 -1.688373
414 421 0.164824
414 425 -1.170568
415 419 1.064170
415 420 -1.061556
415 421 1.227687
415 425 -1.225074
415 429 -0.571004
415 443 -1.007050
416 417 -0.189464
416 423 -0.952545
416 428 0.464606
417 418 -0.571004
417 422 1.309446
417 427 0.955158
417 431 1.636480
417 435 0.028560
417 440 0.328341
417 442 2.208791
417 445 0.137571
420 421 0.246583
421 425 -1.742879
422 431 -0.434740
423 428 -0.461993
423 444 0.001307
423 447 0.410100
424 426 -1.061556
424 433 -1.470350
424 437 -0.543751
424 438 -1.470350
424 446 -0.325728
424 448 1.581974
425 433 -1.061556
425 434 -1.116062
425 437 1.200434
425 443 -0.134958
425 451 -0.680016
425 456 0.382847
425 459 -0.325728
425 461 0.083065
425 462 -0.516498
426 430 -1.988155
426 436 -0.162211
426 438 -0.734521
427 428 0.573617
427 435 -0.734521
428 435 0.382847
428 444 0.573617
429 443 -1.306832
430 431 -0.080452
430 436 0.737135
430 439 0.273836
431 439 0.028560
431 441 0.546365
431 442 0.410100
432 433 1.282193
432 434 0.628123
433 434 1.036917
433 437 1.854503
435 440 0.301088
435 444 0.028560
436 438 -0.134958
436 439 -0.952545
436 441 0.028560
437 446 1.363951
437 448 0.573617
437 449 0.955158
437 451 1.336698
438 441 0.846146
438 448 0.301088
439 441 -1.879143
440 444 -0.134958
440 445 0.028560
440 450 -0.625510
441 442 1.009664
441 445 0.955158
441 448 -0.407487
441 451 0.083065
441 452 -0.134958
441 453 -0.761774
441 454 0.737135
441 458 0.737135
441 461 0.001307
441 463 -0.352981
441 465 0.355594
